,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
0,10/08/2018,Marseille,Toulouse,4,0,H,1.4,4.5,8.0
1,11/08/2018,Angers,Nimes,3,4,A,2.3,3.2,3.3
2,11/08/2018,Lille,Rennes,3,1,H,2.5,3.1,3.1
3,11/08/2018,Montpellier,Dijon,1,2,A,1.72,3.5,5.5
4,11/08/2018,Nantes,Monaco,1,3,A,3.2,3.25,2.3
5,11/08/2018,Nice,Reims,0,1,A,1.85,3.5,4.5
6,11/08/2018,St Etienne,Guingamp,2,1,H,1.8,3.5,4.75
7,12/08/2018,Bordeaux,Strasbourg,0,2,A,1.7,3.6,5.0
8,12/08/2018,Lyon,Amiens,2,0,H,1.2,7.0,13.0
9,12/08/2018,Paris SG,Caen,3,0,H,1.08,12.0,23.0
10,17/08/2018,Reims,Lyon,1,0,H,4.75,4.0,1.7
11,18/08/2018,Amiens,Montpellier,1,2,A,3.2,3.0,2.5
12,18/08/2018,Caen,Nice,1,1,D,2.75,3.1,2.75
13,18/08/2018,Dijon,Nantes,2,0,H,2.6,3.25,2.8
14,18/08/2018,Guingamp,Paris SG,1,3,A,13.0,7.0,1.2
15,18/08/2018,Monaco,Lille,0,0,D,1.5,4.33,6.5
16,18/08/2018,Rennes,Angers,1,0,H,1.9,3.3,4.5
17,19/08/2018,Nimes,Marseille,3,1,H,4.75,3.8,1.72
18,19/08/2018,Strasbourg,St Etienne,1,1,D,2.6,3.2,2.8
19,19/08/2018,Toulouse,Bordeaux,2,1,H,2.6,3.1,2.9
20,24/08/2018,Lyon,Strasbourg,2,0,H,1.28,5.75,11.0
21,25/08/2018,Amiens,Reims,4,1,H,2.6,3.25,2.8
22,25/08/2018,Montpellier,St Etienne,0,0,D,2.4,3.1,3.2
23,25/08/2018,Nantes,Caen,1,1,D,1.95,3.25,4.33
24,25/08/2018,Nice,Dijon,0,4,A,1.9,3.4,4.33
25,25/08/2018,Paris SG,Angers,3,1,H,1.07,13.0,26.0
26,25/08/2018,Toulouse,Nimes,1,0,H,2.3,3.2,3.3
27,26/08/2018,Bordeaux,Monaco,2,1,H,3.1,3.3,2.37
28,26/08/2018,Lille,Guingamp,3,0,H,2.0,3.4,3.9
29,26/08/2018,Marseille,Rennes,2,2,D,1.5,4.33,6.5
30,31/08/2018,Lyon,Nice,0,1,A,1.33,5.25,9.5
31,01/09/2018,Angers,Lille,1,0,H,2.45,3.25,3.0
32,01/09/2018,Dijon,Caen,0,2,A,1.9,3.4,4.33
33,01/09/2018,Guingamp,Toulouse,1,2,A,2.04,3.4,3.75
34,01/09/2018,Nimes,Paris SG,2,4,A,11.0,7.0,1.22
35,01/09/2018,Reims,Montpellier,0,1,A,2.6,3.1,2.9
36,01/09/2018,Strasbourg,Nantes,2,3,A,2.3,3.1,3.4
37,02/09/2018,Monaco,Marseille,2,3,A,2.8,3.3,2.54
38,02/09/2018,Rennes,Bordeaux,2,0,H,2.1,3.3,3.75
39,02/09/2018,St Etienne,Amiens,0,0,D,1.61,3.75,6.0
40,14/09/2018,Nice,Rennes,2,1,H,2.5,3.25,2.8
41,14/09/2018,Paris SG,St Etienne,4,0,H,1.25,6.0,11.0
42,15/09/2018,Amiens,Lille,2,3,A,3.4,3.1,2.3
43,15/09/2018,Caen,Lyon,2,2,D,5.5,3.75,1.64
44,15/09/2018,Dijon,Angers,1,3,A,2.14,3.4,3.4
45,15/09/2018,Montpellier,Strasbourg,1,1,D,1.95,3.4,4.2
46,15/09/2018,Toulouse,Monaco,1,1,D,3.0,3.3,2.4
47,16/09/2018,Bordeaux,Nimes,3,3,D,1.83,3.4,4.5
48,16/09/2018,Marseille,Guingamp,4,0,H,1.28,5.75,10.0
49,16/09/2018,Nantes,Reims,0,0,D,1.9,3.25,4.33
50,21/09/2018,Monaco,Nimes,1,1,D,1.75,4.0,4.33
51,22/09/2018,Angers,Toulouse,0,0,D,2.14,3.2,3.6
52,22/09/2018,Lille,Nantes,2,1,H,1.85,3.5,4.5
53,22/09/2018,Montpellier,Nice,1,0,H,2.2,3.0,3.75
54,22/09/2018,Reims,Dijon,0,0,D,2.04,3.3,3.8
55,22/09/2018,St Etienne,Caen,2,1,H,1.64,3.5,6.5
56,22/09/2018,Strasbourg,Amiens,3,1,H,1.8,3.3,5.25
57,23/09/2018,Guingamp,Bordeaux,1,3,A,2.25,3.1,3.5
58,23/09/2018,Lyon,Marseille,4,2,H,1.95,3.5,3.8
59,23/09/2018,Rennes,Paris SG,1,3,A,7.5,4.5,1.4
60,25/09/2018,Monaco,Angers,0,1,A,1.75,3.8,4.75
61,25/09/2018,Nantes,Nice,1,2,A,2.4,3.2,3.1
62,25/09/2018,Toulouse,St Etienne,2,3,A,2.6,3.0,3.0
63,26/09/2018,Amiens,Rennes,2,1,H,3.25,3.1,2.4
64,26/09/2018,Bordeaux,Lille,1,0,H,2.45,3.2,3.0
65,26/09/2018,Caen,Montpellier,2,2,D,3.0,3.0,2.6
66,26/09/2018,Dijon,Lyon,0,3,A,5.75,4.2,1.57
67,26/09/2018,Marseille,Strasbourg,3,2,H,1.44,4.5,7.5
68,26/09/2018,Nimes,Guingamp,0,0,D,1.95,3.6,3.8
69,26/09/2018,Paris SG,Reims,4,1,H,1.12,9.0,21.0
70,28/09/2018,St Etienne,Monaco,2,0,H,1.95,3.4,4.0
71,29/09/2018,Angers,Guingamp,0,1,A,2.14,3.2,3.7
72,29/09/2018,Caen,Amiens,1,0,H,2.14,3.25,3.6
73,29/09/2018,Lyon,Nantes,1,1,D,1.3,5.75,9.5
74,29/09/2018,Nice,Paris SG,0,3,A,7.5,5.5,1.36
75,29/09/2018,Reims,Bordeaux,0,0,D,2.3,3.25,3.25
76,29/09/2018,Strasbourg,Dijon,3,0,H,1.95,3.5,4.0
77,30/09/2018,Lille,Marseille,3,0,H,3.1,3.4,2.3
78,30/09/2018,Montpellier,Nimes,3,0,H,1.85,3.6,4.33
79,30/09/2018,Rennes,Toulouse,1,1,D,1.95,3.5,4.0
80,05/10/2018,Toulouse,Nice,1,1,D,2.37,3.3,3.1
81,06/10/2018,Amiens,Dijon,1,0,H,2.4,3.25,3.1
82,06/10/2018,Angers,Strasbourg,2,2,D,2.37,3.1,3.3
83,06/10/2018,Guingamp,Montpellier,1,1,D,2.8,3.1,2.7
84,06/10/2018,Lille,St Etienne,3,1,H,2.0,3.4,3.9
85,06/10/2018,Nimes,Reims,0,0,D,2.3,3.3,3.2
86,07/10/2018,Bordeaux,Nantes,3,0,H,2.25,3.2,3.4
87,07/10/2018,Marseille,Caen,2,0,H,1.33,5.25,9.0
88,07/10/2018,Monaco,Rennes,1,2,A,2.0,3.5,3.75
89,07/10/2018,Paris SG,Lyon,5,0,H,1.33,5.5,8.5
90,19/10/2018,Lyon,Nimes,2,0,H,1.3,5.5,9.5
91,20/10/2018,Caen,Guingamp,0,0,D,2.1,3.25,3.75
92,20/10/2018,Dijon,Lille,1,2,A,3.3,3.5,2.14
93,20/10/2018,Nantes,Toulouse,4,0,H,2.0,3.3,4.0
94,20/10/2018,Paris SG,Amiens,5,0,H,1.08,11.0,26.0
95,20/10/2018,Reims,Angers,1,1,D,2.25,3.1,3.5
96,20/10/2018,Strasbourg,Monaco,2,1,H,2.7,3.25,2.7
97,21/10/2018,Montpellier,Bordeaux,2,0,H,2.14,3.25,3.6
98,21/10/2018,Nice,Marseille,0,1,A,3.5,3.5,2.04
99,21/10/2018,St Etienne,Rennes,1,1,D,2.14,3.2,3.75
100,26/10/2018,Nimes,St Etienne,1,1,D,2.62,3.3,2.7
101,27/10/2018,Amiens,Nantes,1,2,A,3.0,3.2,2.5
102,27/10/2018,Angers,Lyon,1,2,A,3.8,3.6,1.95
103,27/10/2018,Guingamp,Strasbourg,1,1,D,2.37,3.2,3.2
104,27/10/2018,Lille,Caen,1,0,H,1.5,4.0,7.5
105,27/10/2018,Monaco,Dijon,2,2,D,1.66,4.0,5.0
106,27/10/2018,Toulouse,Montpellier,0,3,A,2.8,3.1,2.7
107,28/10/2018,Bordeaux,Nice,0,1,A,2.3,3.3,3.25
108,28/10/2018,Marseille,Paris SG,0,2,A,6.0,5.0,1.44
109,28/10/2018,Rennes,Reims,0,2,A,1.7,3.4,5.75
110,02/11/2018,Paris SG,Lille,2,1,H,1.16,8.0,15.0
111,03/11/2018,Caen,Rennes,1,2,A,3.5,3.25,2.2
112,03/11/2018,Dijon,Nimes,0,4,A,2.14,3.4,3.4
113,03/11/2018,Lyon,Bordeaux,1,1,D,1.44,4.75,7.0
114,03/11/2018,Nice,Amiens,1,0,H,1.72,3.6,5.25
115,03/11/2018,Reims,Monaco,1,0,H,2.5,3.3,2.87
116,03/11/2018,Strasbourg,Toulouse,1,1,D,1.85,3.6,4.33
117,04/11/2018,Montpellier,Marseille,3,0,H,3.0,3.2,2.5
118,04/11/2018,Nantes,Guingamp,5,0,H,1.83,3.5,4.5
119,04/11/2018,St Etienne,Angers,4,3,H,1.95,3.3,4.2
120,09/11/2018,Lille,Strasbourg,0,0,D,1.72,3.75,5.0
121,10/11/2018,Angers,Montpellier,1,0,H,3.0,3.1,2.6
122,10/11/2018,Guingamp,Lyon,2,4,A,5.0,4.0,1.66
123,10/11/2018,Nimes,Nice,0,1,A,2.3,3.25,3.25
124,10/11/2018,St Etienne,Reims,2,0,H,1.8,3.5,4.75
125,10/11/2018,Toulouse,Amiens,0,1,A,2.14,3.2,3.6
126,11/11/2018,Bordeaux,Caen,0,0,D,1.85,3.5,4.5
127,11/11/2018,Marseille,Dijon,2,0,H,1.33,4.75,11.0
128,11/11/2018,Monaco,Paris SG,0,4,A,11.0,6.5,1.25
129,11/11/2018,Rennes,Nantes,1,1,D,2.14,3.3,3.6
130,23/11/2018,Lyon,St Etienne,1,0,H,1.57,4.2,5.75
131,24/11/2018,Caen,Monaco,0,1,A,3.25,3.25,2.3
132,24/11/2018,Dijon,Bordeaux,0,0,D,2.87,3.25,2.54
133,24/11/2018,Nantes,Angers,1,1,D,2.0,3.2,4.2
134,24/11/2018,Paris SG,Toulouse,1,0,H,1.14,9.0,15.0
135,24/11/2018,Reims,Guingamp,2,1,H,2.0,3.2,4.2
136,24/11/2018,Strasbourg,Nimes,0,1,A,2.1,3.4,3.6
137,25/11/2018,Amiens,Marseille,1,3,A,4.6,3.75,1.75
138,25/11/2018,Montpellier,Rennes,2,2,D,2.3,3.0,3.6
139,25/11/2018,Nice,Lille,2,0,H,2.6,3.1,3.0
140,30/11/2018,St Etienne,Nantes,3,0,H,2.04,3.4,3.75
141,01/12/2018,Angers,Caen,1,1,D,1.72,3.75,5.0
142,01/12/2018,Guingamp,Nice,0,0,D,2.7,3.2,2.75
143,01/12/2018,Lille,Lyon,2,2,D,2.75,3.3,2.6
144,01/12/2018,Monaco,Montpellier,1,2,A,2.54,3.3,2.8
145,01/12/2018,Nimes,Amiens,3,0,H,1.9,3.6,4.2
146,02/12/2018,Bordeaux,Paris SG,2,2,D,10.0,5.5,1.28
147,02/12/2018,Marseille,Reims,0,0,D,1.4,4.75,7.5
148,02/12/2018,Rennes,Strasbourg,1,4,A,1.7,3.75,5.0
149,02/12/2018,Toulouse,Dijon,2,2,D,2.0,3.4,3.75
150,04/12/2018,Amiens,Monaco,0,2,A,2.9,3.3,2.45
151,04/12/2018,Montpellier,Lille,0,1,A,2.1,3.2,3.75
152,04/12/2018,Nice,Angers,0,0,D,2.0,3.2,4.2
153,05/12/2018,Bordeaux,St Etienne,3,2,H,2.5,3.1,3.1
154,05/12/2018,Caen,Nimes,1,2,A,2.8,3.1,2.75
155,05/12/2018,Dijon,Guingamp,2,1,H,2.25,3.25,3.4
156,05/12/2018,Lyon,Rennes,0,2,A,1.53,4.2,6.5
157,05/12/2018,Nantes,Marseille,3,2,H,3.1,3.3,2.35
158,05/12/2018,Reims,Toulouse,0,1,A,1.95,3.2,4.5
