,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,10/08/12,Montpellier,Toulouse,1,1,D,1.83,3.4,4.5,0,0,0,0,0,1,0,1,0.0,20,False
1,11/08/12,Evian Thonon Gaillard,Bordeaux,2,3,A,2.75,3.2,2.6,-200,-200,0,1,-200,-200,0,3,-200.0,20,False
2,11/08/12,Nancy,Brest,1,0,H,2.1,3.2,3.6,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
3,11/08/12,Nice,Ajaccio,0,1,A,1.91,3.25,4.33,0,-1,-200,-200,0,0,-200,-200,-200.0,20,False
4,11/08/12,Paris SG,Lorient,2,2,D,1.33,4.75,10.0,0,0,-200,-200,0,1,-200,-200,-200.0,20,False
5,11/08/12,Rennes,Lyon,0,1,A,2.5,3.0,3.0,0,-1,0,1,0,0,0,3,0.0,20,False
6,11/08/12,Sochaux,Bastia,2,3,A,2.2,3.2,3.4,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
7,11/08/12,St Etienne,Lille,1,2,A,3.0,3.0,2.5,0,-1,0,1,0,0,0,3,0.0,20,False
8,11/08/12,Troyes,Valenciennes,0,1,A,2.4,3.1,3.1,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
9,12/08/12,Reims,Marseille,0,1,A,3.5,3.1,2.2,0,-1,0,1,0,0,0,3,0.0,20,False
10,17/08/12,Lille,Nancy,1,1,D,1.44,4.0,8.0,1,1,-200,-200,3,4,-200,-200,-200.0,20,False
11,18/08/12,Bastia,Reims,2,1,H,1.7,3.5,5.25,-200,-200,-1,-2,-200,-200,0,0,-200.0,20,False
12,18/08/12,Brest,Evian Thonon Gaillard,1,0,H,2.38,3.0,3.2,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
13,18/08/12,Lorient,Montpellier,2,1,H,2.7,3.0,2.75,-200,-200,0,-1,-200,-200,1,1,-200.0,20,False
14,18/08/12,Lyon,Troyes,4,1,H,1.44,4.2,7.5,1,4,-200,-200,3,6,-200,-200,-200.0,20,False
15,18/08/12,Toulouse,St Etienne,2,1,H,2.15,3.0,3.75,0,1,-1,-2,1,4,0,0,1.0,20,False
16,18/08/12,Valenciennes,Nice,0,0,D,1.91,3.25,4.33,-200,-200,-1,-1,-200,-200,0,1,-200.0,20,False
17,19/08/12,Ajaccio,Paris SG,0,0,D,6.0,3.6,1.62,-200,-200,0,0,-200,-200,1,2,-200.0,20,False
18,19/08/12,Bordeaux,Rennes,1,0,H,2.1,3.1,3.75,1,2,-1,-2,3,6,0,0,2.5500000000000003,20,False
19,19/08/12,Marseille,Sochaux,2,0,H,1.44,4.0,8.0,1,3,-200,-200,3,6,-200,-200,-200.0,20,False
20,24/08/12,Evian Thonon Gaillard,Lyon,1,1,D,3.6,3.2,2.1,-200,-200,4,4,-200,-200,6,7,-200.0,20,False
21,25/08/12,Nancy,Toulouse,0,1,A,2.38,3.1,3.1,-200,-200,1,2,-200,-200,4,7,-200.0,20,False
22,25/08/12,Nice,Lille,2,2,D,4.0,3.2,2.0,-1,-1,1,1,1,2,4,5,-2.5500000000000003,20,False
23,25/08/12,Reims,Sochaux,1,0,H,2.15,3.2,3.5,-2,-1,-200,-200,0,3,-200,-200,-200.0,20,False
24,25/08/12,Rennes,Bastia,3,2,H,1.83,3.4,4.5,-2,-1,-200,-200,0,3,-200,-200,-200.0,20,False
25,25/08/12,Troyes,Lorient,2,2,D,2.6,3.0,2.9,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
26,25/08/12,Valenciennes,Ajaccio,3,0,H,1.83,3.25,4.75,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
27,26/08/12,Montpellier,Marseille,0,1,A,2.3,3.1,3.2,-1,-2,3,4,1,1,6,9,-4.55,20,False
28,26/08/12,Paris SG,Bordeaux,0,0,D,1.57,3.6,6.5,0,0,2,2,2,3,6,7,-3.1,20,False
29,26/08/12,St Etienne,Brest,4,0,H,1.7,3.5,5.25,-2,2,-200,-200,0,3,-200,-200,-200.0,20,False
30,01/09/12,Ajaccio,Evian Thonon Gaillard,2,0,H,2.4,3.2,3.0,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
31,01/09/12,Bastia,St Etienne,0,3,A,2.4,3.1,3.1,-200,-200,2,5,-200,-200,3,6,-200.0,20,False
32,01/09/12,Brest,Troyes,2,1,H,2.15,3.0,3.75,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
33,01/09/12,Lorient,Nancy,3,0,H,2.0,3.2,4.0,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
34,01/09/12,Lyon,Valenciennes,3,2,H,1.62,3.75,5.5,4,5,-200,-200,7,10,-200,-200,-200.0,20,False
35,01/09/12,Sochaux,Montpellier,1,3,A,3.6,3.1,2.15,-200,-200,-2,0,-200,-200,1,4,-200.0,20,False
36,01/09/12,Toulouse,Reims,1,1,D,1.67,3.5,5.5,2,2,-1,-1,7,8,3,4,3.5500000000000003,20,False
37,02/09/12,Bordeaux,Nice,1,1,D,1.62,3.6,6.0,2,2,-1,-1,7,8,2,3,4.1,20,False
38,02/09/12,Lille,Paris SG,1,2,A,2.7,3.25,2.6,1,0,0,1,5,5,3,6,1.55,20,False
39,02/09/12,Marseille,Rennes,3,1,H,1.91,3.25,4.2,4,6,-1,-3,9,12,3,3,5.550000000000001,20,False
40,14/09/12,Paris SG,Toulouse,2,0,H,1.4,4.2,9.0,1,3,2,0,6,9,8,8,-1.55,20,False
41,14/09/12,Reims,Montpellier,3,1,H,3.4,3.0,2.3,-1,1,0,-2,4,7,4,4,-0.45,20,False
42,15/09/12,Evian Thonon Gaillard,Bastia,3,0,H,2.3,3.2,3.2,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
43,15/09/12,Nice,Brest,4,2,H,2.0,3.2,4.0,-1,1,-200,-200,3,6,-200,-200,-200.0,20,False
44,15/09/12,St Etienne,Sochaux,0,1,A,1.5,3.8,7.5,5,4,-200,-200,6,6,-200,-200,-200.0,20,False
45,15/09/12,Troyes,Lille,1,1,D,4.0,3.2,2.0,-200,-200,0,0,-200,-200,5,6,-200.0,20,False
46,15/09/12,Valenciennes,Bordeaux,0,0,D,2.63,3.0,2.88,-200,-200,2,2,-200,-200,8,9,-200.0,20,False
47,16/09/12,Lyon,Ajaccio,2,0,H,1.44,4.2,7.5,5,7,-200,-200,10,13,-200,-200,-200.0,20,False
48,16/09/12,Nancy,Marseille,0,1,A,3.4,3.1,2.25,-200,-200,6,7,-200,-200,12,15,-200.0,20,False
49,16/09/12,Rennes,Lorient,1,2,A,1.83,3.25,4.75,-3,-4,-200,-200,3,3,-200,-200,-200.0,20,False
50,21/09/12,Montpellier,St Etienne,1,1,D,2.0,3.2,4.0,-2,-2,4,4,4,5,6,7,-3.8000000000000003,20,False
51,22/09/12,Bastia,Paris SG,0,4,A,5.25,3.6,1.67,-200,-200,3,7,-200,-200,9,12,-200.0,20,False
52,22/09/12,Brest,Valenciennes,2,1,H,2.7,3.0,2.75,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
