,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,06/08/11,Ajaccio,Toulouse,0,2,A,2.63,3.0,2.88,0,0,0,2,0,0,0,3,0,20,False
1,06/08/11,Brest,Evian Thonon Gaillard,2,2,D,2.3,3.0,3.4,0,0,0,0,0,0,0,0,0,20,False
2,06/08/11,Caen,Valenciennes,1,0,H,2.3,3.0,3.4,0,1,0,0,0,3,0,0,0,20,False
3,06/08/11,Marseille,Sochaux,2,2,D,1.53,3.8,6.75,0,0,0,0,0,1,0,0,0,20,False
4,06/08/11,Montpellier,Auxerre,3,1,H,2.1,3.1,3.8,0,2,0,0,0,3,0,0,0,20,False
5,06/08/11,Nancy,Lille,1,1,D,3.5,3.1,2.2,0,0,0,0,0,0,0,1,0,20,False
6,06/08/11,Nice,Lyon,1,3,A,4.0,3.2,2.0,0,-2,0,2,0,0,0,3,0,20,False
7,06/08/11,Paris SG,Lorient,0,1,A,1.53,3.8,6.75,0,-1,0,0,0,0,0,0,0,20,False
8,07/08/11,Bordeaux,St Etienne,1,2,A,1.91,3.25,4.33,0,-1,0,1,0,0,0,3,0,20,False
9,07/08/11,Dijon,Rennes,1,5,A,2.88,3.0,2.63,0,-4,0,4,0,0,0,3,0,20,False
10,13/08/11,Lorient,Bordeaux,1,1,D,2.4,3.2,3.0,0,0,-1,-1,0,0,0,1,0,20,False
11,13/08/11,Lyon,Ajaccio,1,1,D,1.3,5.0,11.0,2,2,0,0,3,4,0,0,0,20,False
12,13/08/11,Rennes,Paris SG,1,1,D,2.7,3.1,2.7,4,4,-1,-1,3,4,0,1,0,20,False
13,13/08/11,Sochaux,Caen,1,2,A,2.0,3.2,4.0,0,0,1,2,0,0,3,6,0,20,False
14,13/08/11,St Etienne,Nancy,1,0,H,2.0,3.2,4.0,1,2,0,0,3,6,0,0,0,20,False
15,13/08/11,Toulouse,Dijon,2,0,H,1.6,3.5,6.5,2,4,-4,-6,3,6,0,0,0,20,False
16,13/08/11,Valenciennes,Brest,0,0,D,1.91,3.3,4.2,0,0,0,0,0,0,0,0,0,20,False
17,14/08/11,Auxerre,Marseille,2,2,D,3.6,3.2,2.1,0,0,0,0,0,0,1,2,0,20,False
18,14/08/11,Evian Thonon Gaillard,Nice,1,0,H,2.2,3.2,3.4,0,0,-2,-3,0,0,0,0,0,20,False
19,14/08/11,Lille,Montpellier,0,1,A,1.62,3.6,6.0,0,-1,2,3,1,1,3,6,0,20,False
20,20/08/11,Ajaccio,Evian Thonon Gaillard,1,1,D,2.38,3.1,3.1,0,0,0,0,0,0,0,0,0,20,False
21,20/08/11,Bordeaux,Auxerre,1,1,D,1.83,3.25,4.75,-1,-1,0,0,1,2,0,0,0,20,False
22,20/08/11,Brest,Lyon,1,1,D,3.75,3.25,2.05,0,0,2,2,0,0,4,5,0,20,False
23,20/08/11,Caen,Lille,1,2,A,3.6,3.25,2.1,2,1,-1,0,6,6,1,4,0,20,False
24,20/08/11,Dijon,Lorient,2,0,H,2.8,3.1,2.63,-6,-4,0,0,0,3,0,0,0,20,False
25,20/08/11,Nice,Toulouse,1,1,D,2.6,3.0,2.88,-3,-3,4,4,0,1,6,7,0,20,False
26,21/08/11,Marseille,St Etienne,0,0,D,1.53,3.75,7.0,0,0,2,2,2,3,6,7,0,20,False
27,21/08/11,Montpellier,Rennes,4,0,H,2.6,3.0,2.9,3,7,4,0,6,9,4,4,0,20,False
28,21/08/11,Nancy,Sochaux,1,2,A,2.25,3.1,3.4,0,0,0,0,0,0,0,0,0,20,False
29,21/08/11,Paris SG,Valenciennes,2,1,H,1.5,4.0,7.0,-1,0,0,0,1,4,0,0,0,20,False
30,27/08/11,Auxerre,Ajaccio,4,1,H,1.8,3.3,4.75,0,0,0,0,0,0,0,0,0,20,False
31,27/08/11,Evian Thonon Gaillard,Dijon,0,1,A,1.91,3.25,4.33,0,0,-4,-3,0,0,3,6,0,20,False
32,27/08/11,Lorient,Nancy,2,1,H,1.91,3.2,4.33,0,0,0,0,0,0,0,0,0,20,False
33,27/08/11,Lyon,Montpellier,2,1,H,1.5,4.0,7.0,2,3,7,6,5,8,9,9,0,20,False
34,27/08/11,Nice,Brest,0,0,D,2.2,3.1,3.6,-3,-3,0,0,1,2,0,0,0,20,False
35,27/08/11,Valenciennes,Bordeaux,1,2,A,2.6,3.0,2.9,0,0,-1,0,0,0,2,5,0,20,False
36,28/08/11,Lille,Marseille,3,2,H,2.25,3.2,3.25,0,1,0,-1,4,7,3,3,0,20,False
37,28/08/11,Rennes,Caen,3,2,H,1.73,3.4,5.25,0,1,1,0,4,7,6,6,0,20,False
38,28/08/11,Sochaux,St Etienne,2,1,H,2.2,3.2,3.4,0,0,2,1,0,0,7,7,0,20,False
39,28/08/11,Toulouse,Paris SG,1,3,A,3.0,3.0,2.5,4,2,0,2,7,7,4,7,0,20,False
40,10/09/11,Ajaccio,Valenciennes,3,1,H,2.5,3.0,3.0,0,0,0,0,0,0,0,0,0,20,False
41,10/09/11,Bordeaux,Evian Thonon Gaillard,0,0,D,1.85,3.3,4.5,0,0,0,0,5,6,0,0,0,20,False
42,10/09/11,Caen,Toulouse,0,1,A,2.6,3.0,2.9,0,-1,2,3,6,6,7,10,0,20,False
43,10/09/11,Dijon,Lyon,1,2,A,4.75,3.4,1.8,-3,-4,3,4,6,6,8,11,0,20,False
44,10/09/11,Marseille,Rennes,0,1,A,1.73,3.5,5.0,-1,-2,1,2,3,3,7,10,0,20,False
45,10/09/11,Sochaux,Lorient,1,1,D,2.25,3.2,3.2,0,0,0,0,0,0,0,0,0,20,False
46,10/09/11,St Etienne,Lille,1,3,A,3.1,3.1,2.4,1,-1,1,3,7,7,7,10,0,20,False
47,11/09/11,Montpellier,Nice,1,0,H,1.73,3.5,5.0,6,7,-3,-4,9,12,2,2,0,20,False
48,11/09/11,Nancy,Auxerre,0,0,D,2.3,3.1,3.25,0,0,0,0,0,0,0,0,0,20,False
49,11/09/11,Paris SG,Brest,1,0,H,1.4,4.33,8.5,2,3,0,0,7,10,0,0,0,20,False
50,17/09/11,Auxerre,Caen,1,1,D,2.0,3.2,4.0,0,0,-1,-1,0,0,6,7,0,20,False
51,17/09/11,Brest,Montpellier,2,2,D,2.63,3.0,2.88,0,0,7,7,0,0,12,13,0,20,False
52,17/09/11,Lille,Sochaux,2,2,D,1.44,4.0,8.0,3,3,0,0,10,11,0,0,0,20,False
53,17/09/11,Lorient,St Etienne,3,0,H,2.0,3.2,4.0,0,0,-1,-4,0,0,7,7,0,20,False
54,17/09/11,Nice,Ajaccio,3,0,H,2.0,3.1,4.2,-4,-1,0,0,2,5,0,0,0,20,False
55,17/09/11,Toulouse,Bordeaux,3,2,H,2.5,3.0,3.0,3,4,0,-1,10,13,6,6,0,20,False
56,17/09/11,Valenciennes,Dijon,4,0,H,1.85,3.3,4.5,0,0,-4,-8,0,0,6,6,0,20,False
57,18/09/11,Evian Thonon Gaillard,Paris SG,2,2,D,3.8,3.1,2.1,0,0,3,3,0,0,10,11,0,20,False
58,18/09/11,Lyon,Marseille,2,0,H,2.2,3.2,3.4,4,6,-2,-4,11,14,3,3,0,20,False
59,18/09/11,Rennes,Nancy,1,1,D,1.67,3.4,6.0,2,2,0,0,10,11,0,0,0,20,False
60,20/09/11,Bordeaux,Lille,1,1,D,2.75,3.1,2.63,-1,-1,3,3,6,7,11,12,0,20,False
61,21/09/11,Ajaccio,Montpellier,1,3,A,3.5,3.1,2.2,0,0,7,9,0,0,13,16,0,20,False
62,21/09/11,Caen,Lyon,1,0,H,4.33,3.25,1.91,-1,0,6,5,7,10,14,14,0,20,False
63,21/09/11,Dijon,Brest,1,0,H,2.4,3.1,3.1,-8,-7,0,0,6,9,0,0,0,20,False
64,21/09/11,Lorient,Auxerre,1,1,D,2.2,3.2,3.4,0,0,0,0,0,0,0,0,0,20,False
65,21/09/11,Marseille,Evian Thonon Gaillard,2,0,H,1.44,4.2,7.5,-4,-2,0,0,3,6,0,0,0,20,False
