,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
0,09/08/13,Montpellier,Paris SG,1.0,1.0,D,4.75,3.5,1.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,10/08/13,Bordeaux,Monaco,0.0,2.0,A,3.0,3.0,2.5,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,3.0
2,10/08/13,Evian Thonon Gaillard,Sochaux,1.0,1.0,D,2.15,3.1,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,10/08/13,Lille,Lorient,1.0,0.0,H,1.62,3.6,6.0,0.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0
4,10/08/13,Lyon,Nice,4.0,0.0,H,1.73,3.5,5.0,0.0,4.0,0.0,-4.0,0.0,3.0,0.0,0.0
5,10/08/13,Nantes,Bastia,2.0,0.0,H,2.25,3.1,3.4,0.0,2.0,0.0,-2.0,0.0,3.0,0.0,0.0
6,10/08/13,Rennes,Reims,2.0,1.0,H,1.7,3.4,5.5,0.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0
7,10/08/13,Valenciennes,Toulouse,3.0,0.0,H,2.5,3.1,2.9,0.0,3.0,0.0,-3.0,0.0,3.0,0.0,0.0
8,11/08/13,Ajaccio,St Etienne,0.0,1.0,A,3.4,3.2,2.2,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
9,11/08/13,Guingamp,Marseille,1.0,3.0,A,3.4,3.2,2.2,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,3.0
10,16/08/13,Sochaux,Lyon,1.0,3.0,A,3.6,3.2,2.1,0.0,-2.0,4.0,6.0,1.0,1.0,3.0,6.0
11,17/08/13,Bastia,Valenciennes,2.0,0.0,H,2.1,3.3,3.5,-2.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0
12,17/08/13,Marseille,Evian Thonon Gaillard,2.0,0.0,H,1.4,4.5,8.0,2.0,4.0,0.0,-2.0,3.0,6.0,1.0,1.0
13,17/08/13,Nice,Rennes,2.0,1.0,H,2.3,3.2,3.2,-4.0,-3.0,1.0,0.0,0.0,3.0,3.0,3.0
14,17/08/13,Reims,Lille,2.0,1.0,H,3.6,3.2,2.1,-1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0
15,17/08/13,St Etienne,Guingamp,1.0,0.0,H,1.44,4.0,8.0,1.0,2.0,-2.0,-3.0,3.0,6.0,0.0,0.0
16,17/08/13,Toulouse,Bordeaux,1.0,1.0,D,2.38,3.0,3.25,-3.0,-3.0,-2.0,-2.0,0.0,1.0,0.0,1.0
17,18/08/13,Lorient,Nantes,2.0,1.0,H,2.15,3.2,3.5,-1.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0
18,18/08/13,Monaco,Montpellier,4.0,1.0,H,1.53,3.8,6.5,2.0,5.0,0.0,-3.0,3.0,6.0,1.0,1.0
19,18/08/13,Paris SG,Ajaccio,1.0,1.0,D,1.2,6.5,13.0,0.0,0.0,-1.0,-1.0,1.0,2.0,0.0,1.0
20,23/08/13,Monaco,Toulouse,0.0,0.0,D,1.36,4.5,9.0,5.0,5.0,-3.0,-3.0,6.0,7.0,1.0,2.0
21,24/08/13,Bordeaux,Bastia,1.0,0.0,H,1.7,3.6,5.0,-2.0,-1.0,0.0,-1.0,1.0,4.0,3.0,3.0
22,24/08/13,Evian Thonon Gaillard,Rennes,1.0,2.0,A,2.38,3.1,3.1,-2.0,-3.0,0.0,1.0,1.0,1.0,3.0,6.0
23,24/08/13,Guingamp,Lorient,2.0,0.0,H,2.3,3.1,3.2,-3.0,-1.0,0.0,-2.0,0.0,3.0,3.0,3.0
24,24/08/13,Lyon,Reims,0.0,1.0,A,1.53,4.0,6.0,6.0,5.0,0.0,1.0,6.0,6.0,3.0,6.0
25,24/08/13,Montpellier,Sochaux,2.0,1.0,H,1.73,3.5,5.0,-3.0,-2.0,-2.0,-3.0,1.0,4.0,1.0,1.0
26,24/08/13,Valenciennes,Marseille,0.0,1.0,A,3.5,3.3,2.1,1.0,0.0,4.0,5.0,3.0,3.0,6.0,9.0
27,25/08/13,Ajaccio,Nice,0.0,0.0,D,2.5,3.1,2.9,-1.0,-1.0,-3.0,-3.0,1.0,2.0,3.0,4.0
28,25/08/13,Lille,St Etienne,1.0,0.0,H,1.95,3.25,4.2,0.0,1.0,2.0,1.0,3.0,6.0,6.0,6.0
29,25/08/13,Nantes,Paris SG,1.0,2.0,A,6.0,3.8,1.57,1.0,0.0,0.0,1.0,3.0,3.0,2.0,5.0
30,31/08/13,Bastia,Toulouse,2.0,1.0,H,2.5,3.2,2.88,-1.0,0.0,-3.0,-4.0,3.0,6.0,2.0,2.0
31,31/08/13,Evian Thonon Gaillard,Lyon,2.0,1.0,H,3.25,3.2,2.25,-3.0,-2.0,5.0,4.0,1.0,4.0,6.0,6.0
32,31/08/13,Lorient,Valenciennes,1.0,0.0,H,1.91,3.4,4.0,-2.0,-1.0,0.0,-1.0,3.0,6.0,3.0,3.0
33,31/08/13,Paris SG,Guingamp,2.0,0.0,H,1.18,6.5,16.0,1.0,3.0,-1.0,-3.0,5.0,8.0,3.0,3.0
34,31/08/13,Reims,Nantes,0.0,0.0,D,2.25,3.1,3.4,1.0,1.0,0.0,0.0,6.0,7.0,3.0,4.0
35,31/08/13,Rennes,Lille,0.0,0.0,D,2.88,3.1,2.55,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0
36,31/08/13,Sochaux,Ajaccio,0.0,0.0,D,2.0,3.2,4.0,-3.0,-3.0,-1.0,-1.0,1.0,2.0,2.0,3.0
37,01/09/13,Marseille,Monaco,1.0,2.0,A,2.4,3.1,3.1,5.0,4.0,5.0,6.0,9.0,9.0,7.0,10.0
38,01/09/13,Nice,Montpellier,2.0,2.0,D,2.0,3.25,3.8,-3.0,-3.0,-2.0,-2.0,4.0,5.0,4.0,5.0
39,01/09/13,St Etienne,Bordeaux,2.0,1.0,H,2.0,3.3,3.8,1.0,2.0,-1.0,-2.0,6.0,9.0,4.0,4.0
40,13/09/13,Bordeaux,Paris SG,0.0,2.0,A,4.33,3.25,1.91,-2.0,-4.0,3.0,5.0,4.0,4.0,8.0,11.0
41,14/09/13,Ajaccio,Evian Thonon Gaillard,2.0,3.0,A,2.7,3.0,2.8,-1.0,-2.0,-2.0,-1.0,3.0,3.0,4.0,7.0
42,14/09/13,Guingamp,Bastia,1.0,1.0,D,2.05,3.25,3.75,-3.0,-3.0,0.0,0.0,3.0,4.0,6.0,7.0
43,14/09/13,Montpellier,Reims,0.0,0.0,D,1.83,3.25,4.75,-2.0,-2.0,1.0,1.0,5.0,6.0,7.0,8.0
44,14/09/13,Nantes,Sochaux,1.0,0.0,H,1.91,3.25,4.33,0.0,1.0,-3.0,-4.0,4.0,7.0,2.0,2.0
45,14/09/13,Toulouse,Marseille,1.0,1.0,D,2.88,3.0,2.6,-4.0,-4.0,4.0,4.0,2.0,3.0,9.0,10.0
46,14/09/13,Valenciennes,St Etienne,1.0,3.0,A,3.4,3.1,2.25,-1.0,-3.0,2.0,4.0,3.0,3.0,9.0,12.0
47,15/09/13,Lille,Nice,0.0,2.0,A,1.7,3.4,5.5,1.0,-1.0,-3.0,-1.0,7.0,7.0,5.0,8.0
48,15/09/13,Lyon,Rennes,0.0,0.0,D,1.91,3.3,4.2,4.0,4.0,1.0,1.0,6.0,7.0,7.0,8.0
49,15/09/13,Monaco,Lorient,1.0,0.0,H,1.4,4.5,8.0,6.0,7.0,-1.0,-2.0,10.0,13.0,6.0,6.0
50,20/09/13,St Etienne,Toulouse,1.0,2.0,A,1.8,3.25,5.0,4.0,3.0,-4.0,-3.0,12.0,12.0,3.0,6.0
51,21/09/13,Bastia,Marseille,0.0,0.0,D,3.3,3.1,2.3,0.0,0.0,4.0,4.0,7.0,8.0,10.0,11.0
52,21/09/13,Evian Thonon Gaillard,Montpellier,2.0,2.0,D,2.2,3.3,3.25,-1.0,-1.0,-2.0,-2.0,7.0,8.0,6.0,7.0
53,21/09/13,Reims,Guingamp,1.0,1.0,D,2.1,3.2,3.6,1.0,1.0,-3.0,-3.0,8.0,9.0,4.0,5.0
54,21/09/13,Rennes,Ajaccio,2.0,0.0,H,1.73,3.4,5.25,1.0,3.0,-2.0,-4.0,8.0,11.0,3.0,3.0
55,21/09/13,Sochaux,Lille,0.0,2.0,A,3.75,3.25,2.05,-4.0,-6.0,-1.0,1.0,2.0,2.0,7.0,10.0
56,22/09/13,Lorient,Bordeaux,3.0,3.0,D,2.63,3.1,2.75,-2.0,-2.0,-4.0,-4.0,6.0,7.0,4.0,5.0
57,22/09/13,Lyon,Nantes,3.0,1.0,H,1.75,3.4,5.0,4.0,6.0,1.0,-1.0,7.0,10.0,7.0,7.0
58,22/09/13,Nice,Valenciennes,4.0,0.0,H,1.73,3.5,5.0,-1.0,3.0,-3.0,-7.0,8.0,11.0,3.0,3.0
59,22/09/13,Paris SG,Monaco,1.0,1.0,D,1.8,3.5,4.5,5.0,5.0,7.0,7.0,11.0,12.0,13.0,14.0
60,24/09/13,Lille,Evian Thonon Gaillard,3.0,0.0,H,1.53,3.8,6.5,1.0,4.0,-1.0,-4.0,10.0,13.0,8.0,8.0
61,24/09/13,Marseille,St Etienne,2.0,1.0,H,2.0,3.2,4.0,4.0,5.0,3.0,2.0,11.0,14.0,12.0,12.0
